oid|iid|quantity
AKQY614535|SEA9154778|8
AKQY614535|FRO6260444|12
AKQY614535|CER5614256|19
AKQY614535|MEA4452025|9
AKQY614535|VEG5127063|4
AKQY614535|VEG9900080|13
AKQY614535|SEA2722405|21
AKQY614535|CAN4634011|7
AKQY614535|CAN0394548|6
AKQY614535|FRU5891741|14
AKQY614535|CAN5715898|9
AKQY614535|FRU4537873|14
AKQY614535|FRU4642919|7
AKQY614535|FRU1209180|7
AKQY614535|FRO6049007|8
AKQY614535|SEA4673165|15
AKQY614535|CER5008033|8
AKQY614535|VEG0025252|7
AKQY614535|MEA4233920|11
AKQY614535|SEA4185464|1
AKQY614535|VEG1829576|8
AKQY614535|MEA2912556|3
AKQY614535|FRU2260452|6
AKQY614535|FRU2196988|8
AKQY614535|CER1477445|6
AKQY614535|CER9337750|4
AKQY614535|CER1323682|6
AKQY614535|SEA5384680|1
AKQY614535|SEA1431819|5
CIAY315812|CER5614256|5
CIAY315812|VEG5127063|10
CIAY315812|FRO6260444|8
CIAY315812|SEA6016141|13
CIAY315812|FRU2196988|18
CIAY315812|SEA4185464|10
CIAY315812|FRU4642919|7
CIAY315812|SEA5384680|5
CIAY315812|CAN0394548|9
CIAY315812|FRU5891741|3
CIAY315812|CAN4634011|8
CIAY315812|CER9337750|5
CIAY315812|FRU4537873|4
CIAY315812|FRO6049007|7
CIAY315812|FRU2260452|4
CIAY315812|SEA1431819|5
CIAY315812|SEA9154778|5
CIAY315812|VEG9900080|21
CIAY315812|MEA4452025|2
CIAY315812|CER1477445|13
CIAY315812|VEG0025252|12
CIAY315812|SEA2722405|3
CIAY315812|SEA4673165|6
CIAY315812|CAN5715898|5
CIAY315812|MEA4233920|4
CIAY315812|FRU1209180|2
CIAY315812|CER1323682|7
CIAY315812|MEA2912556|3
CIAY315812|CER5008033|4
GQGV803982|SEA9154778|8
GQGV803982|SEA2722405|10
GQGV803982|FRU1209180|6
GQGV803982|CAN0394548|5
GQGV803982|SEA5384680|4
GQGV803982|VEG5127063|8
GQGV803982|MEA4233920|12
GQGV803982|SEA6016141|14
GQGV803982|VEG1829576|2
GQGV803982|CER5614256|3
GQGV803982|CER1323682|12
GQGV803982|VEG9900080|2
GQGV803982|CER9337750|5
GQGV803982|MEA2912556|12
